tensor(4.0217, device='cuda:0')
tensor(3.8222, device='cuda:0')
tensor(3.7124, device='cuda:0')
tensor(3.7875, device='cuda:0')
tensor(3.8183, device='cuda:0')
tensor(3.8658, device='cuda:0')
tensor(4.0674, device='cuda:0')
tensor(4.0728, device='cuda:0')
tensor(4.2020, device='cuda:0')
tensor(3.7433, device='cuda:0')
tensor(3.7674, device='cuda:0')
tensor(3.6014, device='cuda:0')
tensor(3.7521, device='cuda:0')
tensor(3.8869, device='cuda:0')
tensor(3.7793, device='cuda:0')
tensor(3.8107, device='cuda:0')
tensor(3.9146, device='cuda:0')
tensor(3.9141, device='cuda:0')
tensor(3.8966, device='cuda:0')
tensor(3.9423, device='cuda:0')
tensor(3.8659, device='cuda:0')
tensor(3.8119, device='cuda:0')
tensor(3.9798, device='cuda:0')
tensor(3.9224, device='cuda:0')
tensor(3.8112, device='cuda:0')
tensor(4.2195, device='cuda:0')
tensor(4.3108, device='cuda:0')
tensor(4.1146, device='cuda:0')
tensor(4.1902, device='cuda:0')
tensor(4.0796, device='cuda:0')
tensor(4.0275, device='cuda:0')
tensor(4.3180, device='cuda:0')
tensor(4.2324, device='cuda:0')
tensor(4.0952, device='cuda:0')
tensor(3.9296, device='cuda:0')
