tensor(2.5406, device='cuda:0')
tensor(2.5356, device='cuda:0')
tensor(2.8362, device='cuda:0')
tensor(2.7241, device='cuda:0')
tensor(2.5144, device='cuda:0')
tensor(2.6119, device='cuda:0')
tensor(2.6518, device='cuda:0')
tensor(2.3630, device='cuda:0')
tensor(2.6799, device='cuda:0')
tensor(2.3860, device='cuda:0')
tensor(2.4923, device='cuda:0')
tensor(2.4381, device='cuda:0')
tensor(2.6064, device='cuda:0')
tensor(2.4610, device='cuda:0')
tensor(2.3386, device='cuda:0')
tensor(2.2951, device='cuda:0')
tensor(2.7929, device='cuda:0')
tensor(2.5483, device='cuda:0')
tensor(2.4129, device='cuda:0')
tensor(2.5559, device='cuda:0')
tensor(2.8220, device='cuda:0')
tensor(2.7440, device='cuda:0')
tensor(2.4318, device='cuda:0')
tensor(2.2523, device='cuda:0')
tensor(2.2130, device='cuda:0')
tensor(2.8440, device='cuda:0')
tensor(2.6534, device='cuda:0')
tensor(2.5231, device='cuda:0')
tensor(2.2153, device='cuda:0')
tensor(2.2421, device='cuda:0')
tensor(2.5762, device='cuda:0')
tensor(2.5053, device='cuda:0')
tensor(2.4130, device='cuda:0')
tensor(2.4088, device='cuda:0')
tensor(2.5565, device='cuda:0')
tensor(2.3423, device='cuda:0')
tensor(2.3711, device='cuda:0')
tensor(2.2111, device='cuda:0')
tensor(2.3214, device='cuda:0')
tensor(2.0439, device='cuda:0')
tensor(2.3475, device='cuda:0')
tensor(2.1426, device='cuda:0')
tensor(2.2812, device='cuda:0')
tensor(2.5551, device='cuda:0')
tensor(2.4794, device='cuda:0')
tensor(2.2810, device='cuda:0')
tensor(2.0676, device='cuda:0')
tensor(2.1720, device='cuda:0')
tensor(2.4051, device='cuda:0')
tensor(2.6233, device='cuda:0')
tensor(2.7881, device='cuda:0')
tensor(2.6170, device='cuda:0')
tensor(2.6145, device='cuda:0')
tensor(2.5159, device='cuda:0')
tensor(2.5968, device='cuda:0')
tensor(2.6543, device='cuda:0')
tensor(2.4583, device='cuda:0')
tensor(2.5368, device='cuda:0')
tensor(2.4475, device='cuda:0')
tensor(2.5299, device='cuda:0')
tensor(2.2560, device='cuda:0')
tensor(2.1093, device='cuda:0')
tensor(2.3475, device='cuda:0')
tensor(2.5479, device='cuda:0')
tensor(2.6038, device='cuda:0')
tensor(2.6758, device='cuda:0')
tensor(2.3717, device='cuda:0')
tensor(2.1926, device='cuda:0')
tensor(2.5996, device='cuda:0')
tensor(2.5412, device='cuda:0')
tensor(2.4191, device='cuda:0')
tensor(2.2539, device='cuda:0')
tensor(2.3726, device='cuda:0')
tensor(2.3350, device='cuda:0')
tensor(2.4142, device='cuda:0')
tensor(2.3285, device='cuda:0')
tensor(2.3111, device='cuda:0')
tensor(2.5164, device='cuda:0')
tensor(2.2768, device='cuda:0')
tensor(2.3272, device='cuda:0')
tensor(2.2776, device='cuda:0')
tensor(2.2005, device='cuda:0')
tensor(2.2162, device='cuda:0')
tensor(2.4242, device='cuda:0')
